Fund Name,Category,Inception Date,Class,Type,Offer,Repurchase,NAV,Validity Date,"Front-end Load %","Back-end Load %","Contingent Load %",Trustee Code
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,139.5945,135.7593,135.7593,2017-04-25,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,139.6561,135.8192,135.8192,2017-04-26,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,138.7798,134.967,134.967,2017-04-27,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-.1,137.2979,133.5258,133.5258.1,2017-02-10,-.2,-.3,-.4,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.0149,132.278,132.278,2017-05-03,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,138.2298,134.4321,134.4321,2017-05-04,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,139.6999,135.8618,135.8618,2017-05-05,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,142.8108,138.8872,138.8872,2017-05-08,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,143.0367,139.1069,139.1069,2017-05-09,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,142.8889,138.9632,138.9632,2017-05-10,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,144.1763,140.2152,140.2152,2017-05-11,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,145.6049,141.6046,141.6046,2017-05-12,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,147.0445,143.0046,143.0046,2017-05-15,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,145.7558,141.7513,141.7513,2017-05-16,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,144.8776,140.8973,140.8973,2017-05-17,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,143.0044,139.0755,139.0755,2017-05-18,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,142.4167,138.504,138.504,2017-05-19,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,144.4216,140.4538,140.4538,2017-05-22,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,146.527,142.5013,142.5013,2017-05-23,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,148.2983,144.224,144.224,2017-05-24,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,149.305,145.203,145.203,2017-05-25,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,148.8762,144.786,144.786,2017-05-26,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,145.6705,141.6684,141.6684,2017-05-30,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,143.6863,139.7387,139.7387,2017-05-31,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,138.3089,134.509,134.509,2017-06-01,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.3896,133.615,133.615,2017-06-02,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,141.9182,138.0192,138.0192,2017-06-05,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,141.9719,138.0714,138.0714,2017-06-06,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,142.3818,138.47,138.47,2017-06-07,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,141.849,137.9519,137.9519,2017-06-08,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,140.5406,136.6794,136.6794,2017-06-09,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.083,131.3717,131.3717,2017-06-12,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.2007,132.4587,132.4587,2017-06-13,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.6097,130.9115,130.9115,2017-06-14,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.5765,130.8792,130.8792,2017-06-15,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,132.9607,129.3078,129.3078,2017-06-16,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,132.1398,128.5094,128.5094,2017-06-19,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,120.0899,116.7906,116.7906,2017-06-20,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,122.7362,119.3642,119.3642,2017-06-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,125.1926,121.7531,121.7531,2017-06-22,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,125.4775,122.0301,122.0301,2017-06-29,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,124.8822,121.4512,121.4512,2017-06-30,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,122.0252,118.6727,118.6727,2017-07-04,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,121.4864,118.1487,118.1487,2017-07-05,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,119.5784,116.2931,116.2931,2017-07-06,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,120.6616,117.3466,117.3466,2017-07-07,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,123.7215,120.3224,120.3224,2017-07-10,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,118.2123,114.9646,114.9646,2017-07-11,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.1565,112.9652,112.9652,2017-07-12,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,115.7301,112.5505,112.5505,2017-07-13,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,117.0628,113.8466,113.8466,2017-07-14,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,117.6535,114.4211,114.4211,2017-07-17,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,120.9135,117.5915,117.5915,2017-07-18,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,120.0519,116.7536,116.7536,2017-07-19,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,119.1837,115.9093,115.9093,2017-07-20,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,120.0704,116.7716,116.7716,2017-07-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-.1,136.2675,132.5237,132.5237.1,2017-05-02,-.2,-.3,-.4,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,121.6906,118.3473,118.3473,2017-07-26,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,121.5188,118.1802,118.1802,2017-07-27,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,121.1654,117.8365,117.8365,2017-07-28,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,121.9751,118.624,118.624,2017-07-31,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,123.9783,120.5721,120.5721,2017-08-01,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,124.8299,121.4003,121.4003,2017-08-02,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,124.9877,121.5538,121.5538,2017-08-03,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,124.4297,121.0111,121.0111,2017-08-04,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,123.0596,119.6787,119.6787,2017-08-07,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,121.6572,118.3148,118.3148,2017-08-08,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,121.9151,118.5656,118.5656,2017-08-09,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,120.8305,117.5108,117.5108,2017-08-10,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,119.7502,116.4602,116.4602,2017-08-11,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,115.9802,112.7938,112.7938,2017-08-15,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.346,113.1495,113.1495,2017-08-16,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,113.3904,110.2751,110.2751,2017-08-17,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,113.2843,110.1719,110.1719,2017-08-18,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,110.6489,107.6089,107.6089,2017-08-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,109.9815,106.9599,106.9599,2017-08-22,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,112.4406,109.3514,109.3514,2017-08-23,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,110.8004,107.7563,107.7563,2017-08-24,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,112.0665,108.9876,108.9876,2017-08-25,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,110.0686,107.0446,107.0446,2017-08-28,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,108.3402,105.3637,105.3637,2017-08-29,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,108.5065,105.5254,105.5254,2017-08-30,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,108.1891,105.2167,105.2167,2017-08-31,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,109.7831,106.7669,106.7669,2017-09-05,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,108.747,105.7593,105.7593,2017-09-06,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,107.7857,104.8244,104.8244,2017-09-07,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,108.4882,105.5076,105.5076,2017-09-08,-,-,-,CDC
